https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume SOL,Volume BTC,tradecount
1706313600000,2024-01-27,SOLBTC,0.0022067,0.0022419,0.0021807,0.0022379,138610.73,306.76687916,26972
1706227200000,2024-01-26,SOLBTC,0.0021744,0.00225,0.0021595,0.002206,146418.03,323.17996102,35663
1706140800000,2024-01-25,SOLBTC,0.0022152,0.0022359,0.0021509,0.0021753,183128.54,401.75010044,37655
1706054400000,2024-01-24,SOLBTC,0.002115,0.0022263,0.0021014,0.002215,178347.27,384.60684532,37487
1705968000000,2024-01-23,SOLBTC,0.0021182,0.0021421,0.002034,0.002114,271974.71,566.43979776,49894
1705881600000,2024-01-22,SOLBTC,0.0021908,0.0022049,0.002079,0.0021198,248041.56,532.02748723,47979
1705795200000,2024-01-21,SOLBTC,0.0022262,0.0022478,0.0021851,0.0021907,93409.33,207.40782166,19125
1705708800000,2024-01-20,SOLBTC,0.0022478,0.0022611,0.0021735,0.0022274,123901.51,274.79097909,25287
1705622400000,2024-01-19,SOLBTC,0.0022839,0.0023039,0.0021582,0.0022486,263338.2,591.43707225,46704
1705536000000,2024-01-18,SOLBTC,0.0023882,0.002424,0.00224,0.0022839,316313.21,732.5163948,54468
1705449600000,2024-01-17,SOLBTC,0.0022633,0.0024058,0.00226,0.0023867,385487.25,904.76417464,66035
1705363200000,2024-01-16,SOLBTC,0.002219,0.0023,0.002219,0.0022618,182673.9,412.49706406,34163
1705276800000,2024-01-15,SOLBTC,0.0022501,0.0022826,0.0022022,0.00222,146870.17,328.1966728,30338
1705190400000,2024-01-14,SOLBTC,0.0022366,0.002396,0.00221,0.0022469,320395.91,734.60595789,66294
1705104000000,2024-01-13,SOLBTC,0.0021528,0.0022632,0.002102,0.0022374,261605.37,571.78975264,45952
1705017600000,2024-01-12,SOLBTC,0.0021557,0.0022075,0.0020924,0.0021527,380278.9,818.87879093,71158
1704931200000,2024-01-11,SOLBTC,0.0021865,0.002268,0.0021304,0.002156,409028.45,892.4683305,71335
1704844800000,2024-01-10,SOLBTC,0.0021546,0.0022458,0.002055,0.0021879,483234.86,1029.11426315,77703
1704758400000,2024-01-09,SOLBTC,0.0020846,0.0022217,0.0020555,0.0021556,458511.07,984.56128576,85235
1704672000000,2024-01-08,SOLBTC,0.0020368,0.0021332,0.00197,0.0020862,428146.45,883.19557244,67706
